,i,t,x,v,E,EKS,ekin,ekin_u
0,0,0,"[[5.98787478e-06 5.98787478e-06 5.98787478e-06]
 [2.56499401e+00 2.56499401e+00 2.56499401e+00]]","[[ 2.39448544e-06  2.39448544e-06  2.39448544e-06]
 [-2.39448544e-06 -2.39448544e-06 -2.39448544e-06]]",-8.241584104088322,-8.241584984735665,8.806187255353665e-07,2.8616689318124153e-11
1,1,5,"[[2.39448544e-05 2.39448544e-05 2.39448544e-05]
 [2.56497606e+00 2.56497606e+00 2.56497606e+00]]","[[ 4.78660743e-06  4.78660743e-06  4.78660743e-06]
 [-4.78660743e-06 -4.78660743e-06 -4.78660743e-06]]",-8.241584104458743,-8.241587624201426,3.5189989546668833e-06,7.43726097639187e-10
2,2,10,"[[5.38539491e-05 5.38539491e-05 5.38539491e-05]
 [2.56494615e+00 2.56494615e+00 2.56494615e+00]]","[[ 7.1749367e-06  7.1749367e-06  7.1749367e-06]
 [-7.1749367e-06 -7.1749367e-06 -7.1749367e-06]]",-8.241584104720726,-8.24159201662292,7.906780167889258e-06,5.122027545651885e-09
3,3,15,"[[9.56942214e-05 9.56942214e-05 9.56942214e-05]
 [2.56490431e+00 2.56490431e+00 2.56490431e+00]]","[[ 9.55922911e-06  9.55922911e-06  9.55922911e-06]
 [-9.55922911e-06 -9.55922911e-06 -9.55922911e-06]]",-8.241584104937099,-8.241598157711865,1.4034897900354356e-05,1.7876865937292045e-08
4,4,20,"[[1.49446240e-04 1.49446240e-04 1.49446240e-04]
 [2.56485055e+00 2.56485055e+00 2.56485055e+00]]","[[ 1.19400072e-05  1.19400072e-05  1.19400072e-05]
 [-1.19400072e-05 -1.19400072e-05 -1.19400072e-05]]",-8.241584105115711,-8.241606044001763,2.1896398759298888e-05,4.2487291766108675e-08
5,5,25,"[[2.15094293e-04 2.15094293e-04 2.15094293e-04]
 [2.56478491e+00 2.56478491e+00 2.56478491e+00]]","[[ 1.43179359e-05  1.43179359e-05  1.43179359e-05]
 [-1.43179359e-05 -1.43179359e-05 -1.43179359e-05]]",-8.241584105219385,-8.2416156726898,3.148649681125623e-05,8.097360466736409e-08
6,6,30,"[[2.92625599e-04 2.92625599e-04 2.92625599e-04]
 [2.56470737e+00 2.56470737e+00 2.56470737e+00]]","[[ 1.66934036e-05  1.66934036e-05  1.66934036e-05]
 [-1.66934036e-05 -1.66934036e-05 -1.66934036e-05]]",-8.24158410533956,-8.241627042007837,4.280093976329678e-05,1.3572851225752995e-07
7,7,35,"[[3.82028330e-04 3.82028330e-04 3.82028330e-04]
 [2.56461797e+00 2.56461797e+00 2.56461797e+00]]","[[ 1.90665109e-05  1.90665109e-05  1.90665109e-05]
 [-1.90665109e-05 -1.90665109e-05 -1.90665109e-05]]",-8.241584105529371,-8.241640149983494,5.583492882166672e-05,2.09525302238735e-07
8,8,40,"[[4.83290708e-04 4.83290708e-04 4.83290708e-04]
 [2.56451671e+00 2.56451671e+00 2.56451671e+00]]","[[ 2.14373569e-05  2.14373569e-05  2.14373569e-05]
 [-2.14373569e-05 -2.14373569e-05 -2.14373569e-05]]",-8.241584105798553,-8.241654993581337,7.058395593681694e-05,3.0382684635262483e-07
9,9,45,"[[5.96401899e-04 5.96401899e-04 5.96401899e-04]
 [2.56440360e+00 2.56440360e+00 2.56440360e+00]]","[[ 2.38062599e-05  2.38062599e-05  2.38062599e-05]
 [-2.38062599e-05 -2.38062599e-05 -2.38062599e-05]]",-8.241584106193619,-8.241671568437988,8.704540677288591e-05,4.168375975787847e-07
10,10,50,"[[7.21353307e-04 7.21353307e-04 7.21353307e-04]
 [2.56427865e+00 2.56427865e+00 2.56427865e+00]]","[[ 2.61736817e-05  2.61736817e-05  2.61736817e-05]
 [-2.61736817e-05 -2.61736817e-05 -2.61736817e-05]]",-8.241584106691198,-8.24168986825746,0.0001052187526502003,5.428136130236922e-07
11,11,55,"[[8.58138716e-04 8.58138716e-04 8.58138716e-04]
 [2.56414186e+00 2.56414186e+00 2.56414186e+00]]","[[ 2.85399748e-05  2.85399748e-05  2.85399748e-05]
 [-2.85399748e-05 -2.85399748e-05 -2.85399748e-05]]",-8.241584107194612,-8.24170988519441,0.00012510385370750546,6.741460915580182e-07
12,12,60,"[[1.00675306e-03 1.00675306e-03 1.00675306e-03]
 [2.56399325e+00 2.56399325e+00 2.56399325e+00]]","[[ 3.09051943e-05  3.09051943e-05  3.09051943e-05]
 [-3.09051943e-05 -3.09051943e-05 -3.09051943e-05]]",-8.241584107679522,-8.24173161122398,0.00014669877067438548,8.047737841227291e-07
13,13,65,"[[1.16719066e-03 1.16719066e-03 1.16719066e-03]
 [2.56383281e+00 2.56383281e+00 2.56383281e+00]]","[[ 3.32691028e-05  3.32691028e-05  3.32691028e-05]
 [-3.32691028e-05 -3.32691028e-05 -3.32691028e-05]]",-8.241584108174944,-8.241755038561603,0.00016999873682063988,9.316498389040427e-07
14,14,70,"[[1.33944408e-03 1.33944408e-03 1.33944408e-03]
 [2.56366056e+00 2.56366056e+00 2.56366056e+00]]","[[ 3.56313214e-05  3.56313214e-05  3.56313214e-05]
 [-3.56313214e-05 -3.56313214e-05 -3.56313214e-05]]",-8.241584108681911,-8.241780159299463,0.0001949967506645371,1.0538668867688075e-06
15,15,75,"[[1.52350387e-03 1.52350387e-03 1.52350387e-03]
 [2.56347650e+00 2.56347650e+00 2.56347650e+00]]","[[ 3.79914631e-05  3.79914631e-05  3.79914631e-05]
 [-3.79914631e-05 -3.79914631e-05 -3.79914631e-05]]",-8.241584109233434,-8.241806965307761,0.000221684615418181,1.171458908318558e-06
16,16,80,"[[1.71935871e-03 1.71935871e-03 1.71935871e-03]
 [2.56328064e+00 2.56328064e+00 2.56328064e+00]]","[[ 4.0349135e-05  4.0349135e-05  4.0349135e-05]
 [-4.0349135e-05 -4.0349135e-05 -4.0349135e-05]]",-8.241584109884617,-8.24183544771503,0.00025005294486603026,1.2848855466089873e-06
17,17,85,"[[1.92699522e-03 1.92699522e-03 1.92699522e-03]
 [2.56307300e+00 2.56307300e+00 2.56307300e+00]]","[[ 4.27038513e-05  4.27038513e-05  4.27038513e-05]
 [-4.27038513e-05 -4.27038513e-05 -4.27038513e-05]]",-8.241584110612617,-8.241865596151184,0.00028009000101755576,1.3955375487336884e-06
18,18,90,"[[2.14639723e-03 2.14639723e-03 2.14639723e-03]
 [2.56285360e+00 2.56285360e+00 2.56285360e+00]]","[[ 4.50549715e-05  4.50549715e-05  4.50549715e-05]
 [-4.50549715e-05 -4.50549715e-05 -4.50549715e-05]]",-8.241584111375131,-8.241897399046584,0.00031178050446137035,1.5071669918283336e-06
19,19,95,"[[2.37754494e-03 2.37754494e-03 2.37754494e-03]
 [2.56262246e+00 2.56262246e+00 2.56262246e+00]]","[[ 4.74017508e-05  4.74017508e-05  4.74017508e-05]
 [-4.74017508e-05 -4.74017508e-05 -4.74017508e-05]]",-8.241584112176314,-8.241930844221365,0.0003451058183868693,1.6262266635925589e-06
20,20,100,"[[0.00262041 0.00262041 0.00262041]
 [2.56237959 2.56237959 2.56237959]]","[[ 4.97435051e-05  4.97435051e-05  4.97435051e-05]
 [-4.97435051e-05 -4.97435051e-05 -4.97435051e-05]]",-8.241584112990981,-8.24196591891653,0.00038004610411855285,1.7598214322195699e-06
21,21,105,"[[0.00287498 0.00287498 0.00287498]
 [2.56212502 2.56212502 2.56212502]]","[[ 5.2079788e-05  5.2079788e-05  5.2079788e-05]
 [-5.2079788e-05 -5.2079788e-05 -5.2079788e-05]]",-8.24158411378268,-8.242002610186383,0.00041658337316029394,1.913030540961088e-06
22,22,110,"[[0.00314121 0.00314121 0.00314121]
 [2.56185879 2.56185879 2.56185879]]","[[ 5.4410453e-05  5.4410453e-05  5.4410453e-05]
 [-5.4410453e-05 -5.4410453e-05 -5.4410453e-05]]",-8.24158411459567,-8.242040905362916,0.00045470339777277315,2.087369474070288e-06
23,23,115,"[[0.00341908 0.00341908 0.00341908]
 [2.56158092 2.56158092 2.56158092]]","[[ 5.67355715e-05  5.67355715e-05  5.67355715e-05]
 [-5.67355715e-05 -5.67355715e-05 -5.67355715e-05]]",-8.241584115487278,-8.242080791430055,0.0004943953572784229,2.2805854989588196e-06
24,24,120,"[[0.00370857 0.00370857 0.00370857]
 [2.56129143 2.56129143 2.56129143]]","[[ 5.90552739e-05  5.90552739e-05  5.90552739e-05]
 [-5.90552739e-05 -5.90552739e-05 -5.90552739e-05]]",-8.241584116453872,-8.242122254193001,0.0005356497324181642,2.4880067100364895e-06
25,25,125,"[[0.00400964 0.00400964 0.00400964]
 [2.56099036 2.56099036 2.56099036]]","[[ 6.13696173e-05  6.13696173e-05  6.13696173e-05]
 [-6.13696173e-05 -6.13696173e-05 -6.13696173e-05]]",-8.241584117473694,-8.24216527827909,0.000578456021004813,2.7047843909942492e-06
26,26,130,"[[0.00432226 0.00432226 0.00432226]
 [2.56067774 2.56067774 2.56067774]]","[[ 6.36785549e-05  6.36785549e-05  6.36785549e-05]
 [-6.36785549e-05 -6.36785549e-05 -6.36785549e-05]]",-8.24158411852216,-8.242209847469269,0.0006228018796022475,2.9270675049292084e-06
27,27,135,"[[0.00464642 0.00464642 0.00464642]
 [2.56035358 2.56035358 2.56035358]]","[[ 6.59819957e-05  6.59819957e-05  6.59819957e-05]
 [-6.59819957e-05 -6.59819957e-05 -6.59819957e-05]]",-8.241584119568943,-8.242255945108782,0.0006686739590493262,3.1515807907168245e-06
28,28,140,"[[0.00498208 0.00498208 0.00498208]
 [2.56001792 2.56001792 2.56001792]]","[[ 6.82798638e-05  6.82798638e-05  6.82798638e-05]
 [-6.82798638e-05 -6.82798638e-05 -6.82798638e-05]]",-8.241584120634803,-8.242303554523591,0.0007160590011795972,3.3748876081943585e-06
29,29,145,"[[0.00532922 0.00532922 0.00532922]
 [2.55967078 2.55967078 2.55967078]]","[[ 7.05720823e-05  7.05720823e-05  7.05720823e-05]
 [-7.05720823e-05 -7.05720823e-05 -7.05720823e-05]]",-8.241584121767726,-8.24235265871161,0.0007649435372777932,3.5934066073113004e-06
30,30,150,"[[0.00568781 0.00568781 0.00568781]
 [2.55931219 2.55931219 2.55931219]]","[[ 7.28584836e-05  7.28584836e-05  7.28584836e-05]
 [-7.28584836e-05 -7.28584836e-05 -7.28584836e-05]]",-8.241584122966058,-8.242403239673687,0.0008153118828434741,3.804824784131469e-06
31,31,155,"[[0.00605781 0.00605781 0.00605781]
 [2.55894219 2.55894219 2.55894219]]","[[ 7.51387207e-05  7.51387207e-05  7.51387207e-05]
 [-7.51387207e-05 -7.51387207e-05 -7.51387207e-05]]",-8.241584124208078,-8.242455278401648,0.0008671437733133226,4.010420257661331e-06
32,32,160,"[[0.00643919 0.00643919 0.00643919]
 [2.55856081 2.55856081 2.55856081]]","[[ 7.74122668e-05  7.74122668e-05  7.74122668e-05]
 [-7.74122668e-05 -7.74122668e-05 -7.74122668e-05]]",-8.241584125502923,-8.242508755159342,0.0009204137243835329,4.215932035354405e-06
33,33,165,"[[0.00683193 0.00683193 0.00683193]
 [2.55816807 2.55816807 2.55816807]]","[[ 7.96785264e-05  7.96785264e-05  7.96785264e-05]
 [-7.96785264e-05 -7.96785264e-05 -7.96785264e-05]]",-8.24158412686691,-8.242563649375358,0.0009750931442257676,4.4293642231324664e-06
34,34,170,"[[0.00723598 0.00723598 0.00723598]
 [2.55776402 2.55776402 2.55776402]]","[[ 8.19369864e-05  8.19369864e-05  8.19369864e-05]
 [-8.19369864e-05 -8.19369864e-05 -8.19369864e-05]]",-8.241584128276138,-8.242619939429298,0.0010311539039177826,4.6572492420145145e-06
35,35,175,"[[0.0076513 0.0076513 0.0076513]
 [2.5573487 2.5573487 2.5573487]]","[[ 8.41872969e-05  8.41872969e-05  8.41872969e-05]
 [-8.41872969e-05 -8.41872969e-05 -8.41872969e-05]]",-8.241584129675982,-8.242677603030373,0.0010885707163746394,4.902638016170451e-06
36,36,180,"[[0.00807785 0.00807785 0.00807785]
 [2.55692215 2.55692215 2.55692215]]","[[ 8.64292342e-05  8.64292342e-05  8.64292342e-05]
 [-8.64292342e-05 -8.64292342e-05 -8.64292342e-05]]",-8.241584131070777,-8.242736617987497,0.0011473207468319512,5.166169887814305e-06
37,37,185,"[[0.00851559 0.00851559 0.00851559]
 [2.55648441 2.55648441 2.55648441]]","[[ 8.86626021e-05  8.86626021e-05  8.86626021e-05]
 [-8.86626021e-05 -8.86626021e-05 -8.86626021e-05]]",-8.24158413251841,-8.242796962139922,0.0012073813469903735,5.448274521973688e-06
38,38,190,"[[0.00896448 0.00896448 0.00896448]
 [2.55603552 2.55603552 2.55603552]]","[[ 9.08871665e-05  9.08871665e-05  9.08871665e-05]
 [-9.08871665e-05 -9.08871665e-05 -9.08871665e-05]]",-8.241584134023043,-8.242858612566064,0.001268728351159252,5.750191862230183e-06
39,39,195,"[[0.00942446 0.00942446 0.00942446]
 [2.55557554 2.55557554 2.55557554]]","[[ 9.31026818e-05  9.31026818e-05  9.31026818e-05]
 [-9.31026818e-05 -9.31026818e-05 -9.31026818e-05]]",-8.241584135548958,-8.242921545506334,0.001331336683354236,6.073274021990079e-06
40,40,200,"[[0.0098955 0.0098955 0.0098955]
 [2.5551045 2.5551045 2.5551045]]","[[ 9.53089782e-05  9.53089782e-05  9.53089782e-05]
 [-9.53089782e-05 -9.53089782e-05 -9.53089782e-05]]",-8.241584137107258,-8.242985736828167,0.0013951828951922975,6.4168257165767666e-06
41,41,205,"[[0.01037755 0.01037755 0.01037755]
 [2.55462245 2.55462245 2.55462245]]","[[ 9.75060307e-05  9.75060307e-05  9.75060307e-05]
 [-9.75060307e-05 -9.75060307e-05 -9.75060307e-05]]",-8.24158413872247,-8.243051161887605,0.0014602475013707264,6.7756637655019525e-06
42,42,210,"[[0.01087056 0.01087056 0.01087056]
 [2.55412944 2.55412944 2.55412944]]","[[ 9.96939379e-05  9.96939379e-05  9.96939379e-05]
 [-9.96939379e-05 -9.96939379e-05 -9.96939379e-05]]",-8.241584140386834,-8.243117795203517,0.001526514795616076,7.14002106616116e-06
43,43,215,"[[0.01137449 0.01137449 0.01137449]
 [2.55362551 2.55362551 2.55362551]]","[[ 0.00010187  0.00010187  0.00010187]
 [-0.00010187 -0.00010187 -0.00010187]]",-8.241584142116887,-8.243185610493585,0.0015939694846911962,7.498892006388866e-06
44,44,220,"[[0.01188929 0.01188929 0.01188929]
 [2.55311071 2.55311071 2.55311071]]","[[ 0.00010404  0.00010404  0.00010404]
 [-0.00010404 -0.00010404 -0.00010404]]",-8.241584143931261,-8.243254580437048,0.0016625920684374368,7.844437350451136e-06
45,45,225,"[[0.01241492 0.01241492 0.01241492]
 [2.55258508 2.55258508 2.55258508]]","[[ 0.0001062  0.0001062  0.0001062]
 [-0.0001062 -0.0001062 -0.0001062]]",-8.241584145788048,-8.243324676459205,0.0017323560856877178,8.174585468825042e-06
46,46,230,"[[0.01295132 0.01295132 0.01295132]
 [2.55204868 2.55204868 2.55204868]]","[[ 0.00010835  0.00010835  0.00010835]
 [-0.00010835 -0.00010835 -0.00010835]]",-8.241584147653732,-8.24339586931706,0.0018032287092345875,8.492954092225085e-06
47,47,235,"[[0.01349845 0.01349845 0.01349845]
 [2.55150155 2.55150155 2.55150155]]","[[ 0.00011049  0.00011049  0.00011049]
 [-0.00011049 -0.00011049 -0.00011049]]",-8.241584149547487,-8.243468129589292,0.00187517357872987,8.806463074385364e-06
48,48,240,"[[0.01405626 0.01405626 0.01405626]
 [2.55094374 2.55094374 2.55094374]]","[[ 0.00011262  0.00011262  0.00011262]
 [-0.00011262 -0.00011262 -0.00011262]]",-8.24158415146409,-8.243541427471675,0.001948153797910397,9.122209674478748e-06
49,49,245,"[[0.01462469 0.01462469 0.01462469]
 [2.55037531 2.55037531 2.55037531]]","[[ 0.00011474  0.00011474  0.00011474]
 [-0.00011474 -0.00011474 -0.00011474]]",-8.24158415337999,-8.243615732853018,0.002022133607865086,9.445865164694221e-06
50,50,250,"[[0.01520368 0.01520368 0.01520368]
 [2.54979632 2.54979632 2.54979632]]","[[ 0.00011685  0.00011685  0.00011685]
 [-0.00011685 -0.00011685 -0.00011685]]",-8.241584155321469,-8.243691015605648,0.0020970784280097284,9.781856169596608e-06
51,51,255,"[[0.01579318 0.01579318 0.01579318]
 [2.54920682 2.54920682 2.54920682]]","[[ 0.00011894  0.00011894  0.00011894]
 [-0.00011894 -0.00011894 -0.00011894]]",-8.24158415732786,-8.243767245224262,0.0021729544980935715,1.013339830893991e-05
52,52,260,"[[0.01639313 0.01639313 0.01639313]
 [2.54860687 2.54860687 2.54860687]]","[[ 0.00012103  0.00012103  0.00012103]
 [-0.00012103 -0.00012103 -0.00012103]]",-8.241584159415758,-8.24384439023126,0.0022497296985978183,1.0501116904132127e-05
53,53,265,"[[0.01700346 0.01700346 0.01700346]
 [2.54799654 2.54799654 2.54799654]]","[[ 0.0001231  0.0001231  0.0001231]
 [-0.0001231 -0.0001231 -0.0001231]]",-8.241584161567303,-8.243922417927601,0.002327375126721366,1.0881233577050818e-05
54,54,270,"[[0.01762411 0.01762411 0.01762411]
 [2.54737589 2.54737589 2.54737589]]","[[ 0.00012516  0.00012516  0.00012516]
 [-0.00012516 -0.00012516 -0.00012516]]",-8.241584163760228,-8.244001294633236,0.0024058653276560473,1.1265545351881685e-05
55,55,275,"[[0.01825502 0.01825502 0.01825502]
 [2.54674498 2.54674498 2.54674498]]","[[ 0.0001272  0.0001272  0.0001272]
 [-0.0001272 -0.0001272 -0.0001272]]",-8.24158416599476,-8.244080986017867,0.0024851761008545035,1.164392225120529e-05
56,56,280,"[[0.01889614 0.01889614 0.01889614]
 [2.54610386 2.54610386 2.54610386]]","[[ 0.00012924  0.00012924  0.00012924]
 [-0.00012924 -0.00012924 -0.00012924]]",-8.241584168260845,-8.244161457137126,0.0025652807520904247,1.20081241906448e-05
57,57,285,"[[0.01954739 0.01954739 0.01954739]
 [2.54545261 2.54545261 2.54545261]]","[[ 0.00013126  0.00013126  0.00013126]
 [-0.00013126 -0.00013126 -0.00013126]]",-8.241584170524995,-8.244242672615446,0.0026461467775926724,1.2355312858297074e-05
58,58,290,"[[0.02020872 0.02020872 0.02020872]
 [2.54479128 2.54479128 2.54479128]]","[[ 0.00013327  0.00013327  0.00013327]
 [-0.00013327 -0.00013327 -0.00013327]]",-8.24158417279607,-8.24432459710662,0.002727735167101084,1.268914344942535e-05
59,59,295,"[[0.02088005 0.02088005 0.02088005]
 [2.54411995 2.54411995 2.54411995]]","[[ 0.00013526  0.00013526  0.00013526]
 [-0.00013526 -0.00013526 -0.00013526]]",-8.24158417513171,-8.244407195136485,0.0028100029458192942,1.3017058955865717e-05
60,60,300,"[[0.02156132 0.02156132 0.02156132]
 [2.54343868 2.54343868 2.54343868]]","[[ 0.00013724  0.00013724  0.00013724]
 [-0.00013724 -0.00013724 -0.00013724]]",-8.241584177550516,-8.244490430285309,0.002892906927625921,1.3345807167061224e-05
61,61,305,"[[0.02225246 0.02225246 0.02225246]
 [2.54274754 2.54274754 2.54274754]]","[[ 0.00013921  0.00013921  0.00013921]
 [-0.00013921 -0.00013921 -0.00013921]]",-8.241584180021295,-8.244574264896066,0.002976405995167841,1.3678879602972434e-05
62,62,310,"[[0.0229534 0.0229534 0.0229534]
 [2.5420466 2.5420466 2.5420466]]","[[ 0.00014116  0.00014116  0.00014116]
 [-0.00014116 -0.00014116 -0.00014116]]",-8.241584182522363,-8.244658660501534,0.0030604609766711347,1.4017002498991567e-05
63,63,315,"[[0.02366406 0.02366406 0.02366406]
 [2.54133594 2.54133594 2.54133594]]","[[ 0.0001431  0.0001431  0.0001431]
 [-0.0001431 -0.0001431 -0.0001431]]",-8.241584185052417,-8.244743578173367,0.0031450328831769316,1.4360237772200283e-05
64,64,320,"[[0.02438437 0.02438437 0.02438437]
 [2.54061563 2.54061563 2.54061563]]","[[ 0.00014502  0.00014502  0.00014502]
 [-0.00014502 -0.00014502 -0.00014502]]",-8.241584187600854,-8.24482897858131,0.0032300807813008636,1.471019915679543e-05
65,65,325,"[[0.02511425 0.02511425 0.02511425]
 [2.53988575 2.53988575 2.53988575]]","[[ 0.00014693  0.00014693  0.00014693]
 [-0.00014693 -0.00014693 -0.00014693]]",-8.241584190158388,-8.244914822164478,0.0033155603573348192,1.5071648756119538e-05
66,66,330,"[[0.02585363 0.02585363 0.02585363]
 [2.53914637 2.53914637 2.53914637]]","[[ 0.00014882  0.00014882  0.00014882]
 [-0.00014882 -0.00014882 -0.00014882]]",-8.241584192753912,-8.245001069234808,0.003401423944404872,1.54525364910765e-05
67,67,335,"[[0.02660241 0.02660241 0.02660241]
 [2.53839759 2.53839759 2.53839759]]","[[ 0.00015069  0.00015069  0.00015069]
 [-0.00015069 -0.00015069 -0.00015069]]",-8.241584195405654,-8.245087679575775,0.003487622601415006,1.5861568705851843e-05
68,68,340,"[[0.02736052 0.02736052 0.02736052]
 [2.53763948 2.53763948 2.53763948]]","[[ 0.00015255  0.00015255  0.00015255]
 [-0.00015255 -0.00015255 -0.00015255]]",-8.241584198099758,-8.245174612166704,0.0035741099242662193,1.6304142678717428e-05
69,69,345,"[[0.02812788 0.02812788 0.02812788]
 [2.53687212 2.53687212 2.53687212]]","[[ 0.00015439  0.00015439  0.00015439]
 [-0.00015439 -0.00015439 -0.00015439]]",-8.241584200853255,-8.245261825326628,0.0036608458029123592,1.6778670460536598e-05
70,70,350,"[[0.02890439 0.02890439 0.02890439]
 [2.53609561 2.53609561 2.53609561]]","[[ 0.00015621  0.00015621  0.00015621]
 [-0.00015621 -0.00015621 -0.00015621]]",-8.241584203677572,-8.245349276488065,0.003747797828014905,1.7274982479094426e-05
71,71,355,"[[0.02968997 0.02968997 0.02968997]
 [2.53531003 2.53531003 2.53531003]]","[[ 0.00015801  0.00015801  0.00015801]
 [-0.00015801 -0.00015801 -0.00015801]]",-8.241584206533133,-8.24543692206386,0.0038349388268669586,1.7776703859441713e-05
72,72,360,"[[0.03048453 0.03048453 0.03048453]
 [2.53451547 2.53451547 2.53451547]]","[[ 0.0001598  0.0001598  0.0001598]
 [-0.0001598 -0.0001598 -0.0001598]]",-8.241584209388467,-8.24552471801721,0.003922240982599182,1.8267646144191764e-05
73,73,365,"[[0.031288 0.031288 0.031288]
 [2.533712 2.533712 2.533712]]","[[ 0.00016157  0.00016157  0.00016157]
 [-0.00016157 -0.00016157 -0.00016157]]",-8.241584212237322,-8.245612620349993,0.004009669746532553,1.8738366139056393e-05
74,74,370,"[[0.03210028 0.03210028 0.03210028]
 [2.53289972 2.53289972 2.53289972]]","[[ 0.00016333  0.00016333  0.00016333]
 [-0.00016333 -0.00016333 -0.00016333]]",-8.241584215094829,-8.245700585212713,0.004097181392712674,1.9188725171672155e-05
75,75,375,"[[0.03292128 0.03292128 0.03292128]
 [2.53207872 2.53207872 2.53207872]]","[[ 0.00016506  0.00016506  0.00016506]
 [-0.00016506 -0.00016506 -0.00016506]]",-8.241584218005782,-8.245788568643897,0.0041847254222673715,1.9625215848615693e-05
76,76,380,"[[0.03375091 0.03375091 0.03375091]
 [2.53124909 2.53124909 2.53124909]]","[[ 0.00016678  0.00016678  0.00016678]
 [-0.00016678 -0.00016678 -0.00016678]]",-8.241584220970235,-8.245876525948049,0.004272250187403404,2.005479041008919e-05
77,77,385,"[[0.03458909 0.03458909 0.03458909]
 [2.53041091 2.53041091 2.53041091]]","[[ 0.00016848  0.00016848  0.00016848]
 [-0.00016848 -0.00016848 -0.00016848]]",-8.241584223955321,-8.245964411689325,0.004359708360945019,2.0479373057409154e-05
78,78,390,"[[0.03543571 0.03543571 0.03543571]
 [2.52956429 2.52956429 2.52956429]]","[[ 0.00017016  0.00017016  0.00017016]
 [-0.00017016 -0.00017016 -0.00017016]]",-8.241584226990138,-8.24605218010203,0.00444705832175246,2.0894790139159603e-05
79,79,395,"[[0.03629068 0.03629068 0.03629068]
 [2.52870932 2.52870932 2.52870932]]","[[ 0.00017182  0.00017182  0.00017182]
 [-0.00017182 -0.00017182 -0.00017182]]",-8.241584230103724,-8.246139784707132,0.00453426059928187,2.1294004125638765e-05
80,80,400,"[[0.0371539 0.0371539 0.0371539]
 [2.5278461 2.5278461 2.5278461]]","[[ 0.00017346  0.00017346  0.00017346]
 [-0.00017346 -0.00017346 -0.00017346]]",-8.241584233255082,-8.246227177929217,0.004621273079513778,2.167159462248713e-05
81,81,405,"[[0.03802528 0.03802528 0.03802528]
 [2.52697472 2.52697472 2.52697472]]","[[ 0.00017508  0.00017508  0.00017508]
 [-0.00017508 -0.00017508 -0.00017508]]",-8.24158423639734,-8.246314311672542,0.00470804875912145,2.2026516079239214e-05
82,82,410,"[[0.03890471 0.03890471 0.03890471]
 [2.52609529 2.52609529 2.52609529]]","[[ 0.00017668  0.00017668  0.00017668]
 [-0.00017668 -0.00017668 -0.00017668]]",-8.241584239517694,-8.24640113802129,0.004794536778972982,2.236172462068348e-05
83,83,415,"[[0.03979209 0.03979209 0.03979209]
 [2.52520791 2.52520791 2.52520791]]","[[ 0.00017826  0.00017826  0.00017826]
 [-0.00017826 -0.00017826 -0.00017826]]",-8.241584242634351,-8.246487609458779,0.004880685553748824,2.2681270677873902e-05
84,84,420,"[[0.04068733 0.04068733 0.04068733]
 [2.52431267 2.52431267 2.52431267]]","[[ 0.00017982  0.00017982  0.00017982]
 [-0.00017982 -0.00017982 -0.00017982]]",-8.241584245789184,-8.24657367856987,0.0049664451981181286,2.298758256862194e-05
85,85,425,"[[0.04159031 0.04159031 0.04159031]
 [2.52340969 2.52340969 2.52340969]]","[[ 0.00018136  0.00018136  0.00018136]
 [-0.00018136 -0.00018136 -0.00018136]]",-8.24158424900368,-8.246659297412917,0.005051766245704791,2.3282163532192977e-05
86,86,430,"[[0.04250092 0.04250092 0.04250092]
 [2.52249908 2.52249908 2.52249908]]","[[ 0.00018288  0.00018288  0.00018288]
 [-0.00018288 -0.00018288 -0.00018288]]",-8.241584252275421,-8.24674441717959,0.005136595507245875,2.3569396923893456e-05
87,87,435,"[[0.04341906 0.04341906 0.04341906]
 [2.52158094 2.52158094 2.52158094]]","[[ 0.00018437  0.00018437  0.00018437]
 [-0.00018437 -0.00018437 -0.00018437]]",-8.241584255586078,-8.246828988232075,0.00522087333489783,2.385931109956775e-05
88,88,440,"[[0.04434462 0.04434462 0.04434462]
 [2.52065538 2.52065538 2.52065538]]","[[ 0.00018584  0.00018584  0.00018584]
 [-0.00018584 -0.00018584 -0.00018584]]",-8.24158425890226,-8.246912960409961,0.005304535240887063,2.4166266815615082e-05
89,89,445,"[[0.04527748 0.04527748 0.04527748]
 [2.51972252 2.51972252 2.51972252]]","[[ 0.00018729  0.00018729  0.00018729]
 [-0.00018729 -0.00018729 -0.00018729]]",-8.241584262207423,-8.246996283525084,0.005387517526458426,2.450379120277091e-05
90,90,450,"[[0.04621751 0.04621751 0.04621751]
 [2.51878249 2.51878249 2.51878249]]","[[ 0.00018871  0.00018871  0.00018871]
 [-0.00018871 -0.00018871 -0.00018871]]",-8.241584265497877,-8.247078907658437,0.005469763634867048,2.4878525692955727e-05
91,91,455,"[[0.04716461 0.04716461 0.04716461]
 [2.51783539 2.51783539 2.51783539]]","[[ 0.00019011  0.00019011  0.00019011]
 [-0.00019011 -0.00019011 -0.00019011]]",-8.241584268783551,-8.247160783201458,0.005551226580719524,2.528783718805542e-05
92,92,460,"[[0.04811865 0.04811865 0.04811865]
 [2.51688135 2.51688135 2.51688135]]","[[ 0.00019149  0.00019149  0.00019149]
 [-0.00019149 -0.00019149 -0.00019149]]",-8.241584272080836,-8.247241860712489,0.005631865761054365,2.5722870597463043e-05
