,i,v,x,E,EKS,ekin,t
0,0,"[[ 2.39504178e-06  2.39504178e-06  2.39504178e-06]
 [-2.39504178e-06 -2.39504178e-06 -2.39504178e-06]]","[[5.98800191e-06 5.98800191e-06 5.98800191e-06]
 [2.56499401e+00 2.56499401e+00 2.56499401e+00]]",-8.241584103931002,-8.241584984958987,8.810279841435488e-07,0
1,1,"[[ 4.78964438e-06  4.78964438e-06  4.78964438e-06]
 [-4.78964438e-06 -4.78964438e-06 -4.78964438e-06]]","[[2.39504178e-05 2.39504178e-05 2.39504178e-05]
 [2.56497605e+00 2.56497605e+00 2.56497605e+00]]",-8.241584104063277,-8.241587627529027,3.5234657506838583e-06,5
2,2,"[[ 7.18367597e-06  7.18367597e-06  7.18367597e-06]
 [-7.18367597e-06 -7.18367597e-06 -7.18367597e-06]]","[[5.38844457e-05 5.38844457e-05 5.38844457e-05]
 [2.56494612e+00 2.56494612e+00 2.56494612e+00]]",-8.24158410432033,-8.241592030373583,7.926053253069372e-06,10
3,3,"[[ 9.57664626e-06  9.57664626e-06  9.57664626e-06]
 [-9.57664626e-06 -9.57664626e-06 -9.57664626e-06]]","[[9.57871775e-05 9.57871775e-05 9.57871775e-05]
 [2.56490421e+00 2.56490421e+00 2.56490421e+00]]",-8.24158410718654,-8.241598193274898,1.4086088358408837e-05,15
4,4,"[[ 1.19680106e-05  1.19680106e-05  1.19680106e-05]
 [-1.19680106e-05 -1.19680106e-05 -1.19680106e-05]]","[[1.49650908e-04 1.49650908e-04 1.49650908e-04]
 [2.56485035e+00 2.56485035e+00 2.56485035e+00]]",-8.241584112149177,-8.241606111377626,2.199922845029292e-05,20
5,5,"[[ 1.43576785e-05  1.43576785e-05  1.43576785e-05]
 [-1.43576785e-05 -1.43576785e-05 -1.43576785e-05]]","[[2.15467284e-04 2.15467284e-04 2.15467284e-04]
 [2.56478453e+00 2.56478453e+00 2.56478453e+00]]",-8.241584120669032,-8.241615782203802,3.166153476934835e-05,25
6,6,"[[ 1.67455319e-05  1.67455319e-05  1.67455319e-05]
 [-1.67455319e-05 -1.67455319e-05 -1.67455319e-05]]","[[2.93227693e-04 2.93227693e-04 2.93227693e-04]
 [2.56470677e+00 2.56470677e+00 2.56470677e+00]]",-8.241584133281055,-8.241627201946272,4.3068665218104595e-05,30
7,7,"[[ 1.91331569e-05  1.91331569e-05  1.91331569e-05]
 [-1.91331569e-05 -1.91331569e-05 -1.91331569e-05]]","[[3.82922603e-04 3.82922603e-04 3.82922603e-04]
 [2.56461708e+00 2.56461708e+00 2.56461708e+00]]",-8.241584144656079,-8.241640370603347,5.622594726882712e-05,35
8,8,"[[ 2.15190454e-05  2.15190454e-05  2.15190454e-05]
 [-2.15190454e-05 -2.15190454e-05 -2.15190454e-05]]","[[4.84559262e-04 4.84559262e-04 4.84559262e-04]
 [2.56451544e+00 2.56451544e+00 2.56451544e+00]]",-8.241584153087008,-8.241655275997502,7.112291049369106e-05,40
9,9,"[[ 2.39029558e-05  2.39029558e-05  2.39029558e-05]
 [-2.39029558e-05 -2.39029558e-05 -2.39029558e-05]]","[[5.98113057e-04 5.98113057e-04 5.98113057e-04]
 [2.56440189e+00 2.56440189e+00 2.56440189e+00]]",-8.241584166983568,-8.241671920945421,8.775396185278555e-05,45
10,10,"[[ 2.62860402e-05  2.62860402e-05  2.62860402e-05]
 [-2.62860402e-05 -2.62860402e-05 -2.62860402e-05]]","[[7.23588820e-04 7.23588820e-04 7.23588820e-04]
 [2.56427641e+00 2.56427641e+00 2.56427641e+00]]",-8.241584170593455,-8.24169029465208,0.0001061240586260609,50
11,11,"[[ 2.86665968e-05  2.86665968e-05  2.86665968e-05]
 [-2.86665968e-05 -2.86665968e-05 -2.86665968e-05]]","[[8.60973459e-04 8.60973459e-04 8.60973459e-04]
 [2.56413903e+00 2.56413903e+00 2.56413903e+00]]",-8.241584175917987,-8.241710392319344,0.00012621640135756154,55
12,12,"[[ 3.10445617e-05  3.10445617e-05  3.10445617e-05]
 [-3.10445617e-05 -3.10445617e-05 -3.10445617e-05]]","[[1.01025479e-03 1.01025479e-03 1.01025479e-03]
 [2.56398975e+00 2.56398975e+00 2.56398975e+00]]",-8.241584182126488,-8.241732206960386,0.00014802483389867897,60
13,13,"[[ 3.34196991e-05  3.34196991e-05  3.34196991e-05]
 [-3.34196991e-05 -3.34196991e-05 -3.34196991e-05]]","[[1.17141908e-03 1.17141908e-03 1.17141908e-03]
 [2.56382858e+00 2.56382858e+00 2.56382858e+00]]",-8.241584189498738,-8.241755730754905,0.00017154125616626877,65
14,14,"[[ 3.57918118e-05  3.57918118e-05  3.57918118e-05]
 [-3.57918118e-05 -3.57918118e-05 -3.57918118e-05]]","[[1.34445178e-03 1.34445178e-03 1.34445178e-03]
 [2.56365555e+00 2.56365555e+00 2.56365555e+00]]",-8.24158419795881,-8.24178095527203,0.00019675731322116655,70
15,15,"[[ 3.81606804e-05  3.81606804e-05  3.81606804e-05]
 [-3.81606804e-05 -3.81606804e-05 -3.81606804e-05]]","[[1.52933719e-03 1.52933719e-03 1.52933719e-03]
 [2.56347066e+00 2.56347066e+00 2.56347066e+00]]",-8.241584207626628,-8.241807871445648,0.0002236638190198437,75
16,16,"[[ 4.05260904e-05  4.05260904e-05  4.05260904e-05]
 [-4.05260904e-05 -4.05260904e-05 -4.05260904e-05]]","[[1.72605858e-03 1.72605858e-03 1.72605858e-03]
 [2.56327394e+00 2.56327394e+00 2.56327394e+00]]",-8.24158421855999,-8.2418364695818,0.0002522510218109214,80
17,17,"[[ 4.28878246e-05  4.28878246e-05  4.28878246e-05]
 [-4.28878246e-05 -4.28878246e-05 -4.28878246e-05]]","[[1.9345981e-03 1.9345981e-03 1.9345981e-03]
 [2.5630654e+00 2.5630654e+00 2.5630654e+00]]",-8.241584230848533,-8.241866739369726,0.0002825085211935927,85
18,18,"[[ 4.52456662e-05  4.52456662e-05  4.52456662e-05]
 [-4.52456662e-05 -4.52456662e-05 -4.52456662e-05]]","[[2.15493683e-03 2.15493683e-03 2.15493683e-03]
 [2.56284506e+00 2.56284506e+00 2.56284506e+00]]",-8.241584244564363,-8.241898669868744,0.00031442530438200936,90
19,19,"[[ 4.75993968e-05  4.75993968e-05  4.75993968e-05]
 [-4.75993968e-05 -4.75993968e-05 -4.75993968e-05]]","[[2.38705476e-03 2.38705476e-03 2.38705476e-03]
 [2.56261295e+00 2.56261295e+00 2.56261295e+00]]",-8.241584259789056,-8.241932249509759,0.00034798972070286636,95
20,20,"[[ 4.99487981e-05  4.99487981e-05  4.99487981e-05]
 [-4.99487981e-05 -4.99487981e-05 -4.99487981e-05]]","[[0.00263093 0.00263093 0.00263093]
 [2.56236907 2.56236907 2.56236907]]",-8.241584276592866,-8.241967466094437,0.00038318950157087,100
21,21,"[[ 5.22936506e-05  5.22936506e-05  5.22936506e-05]
 [-5.22936506e-05 -5.22936506e-05 -5.22936506e-05]]","[[0.00288654 0.00288654 0.00288654]
 [2.56211346 2.56211346 2.56211346]]",-8.241584295054501,-8.242004306802084,0.0004200117475831596,105
22,22,"[[ 5.46342306e-05  5.46342306e-05  5.46342306e-05]
 [-5.46342306e-05 -5.46342306e-05 -5.46342306e-05]]","[[0.00315387 0.00315387 0.00315387]
 [2.56184613 2.56184613 2.56184613]]",-8.24158431045772,-8.242042761727504,0.0004584512697851398,110
23,23,"[[ 5.6969997e-05  5.6969997e-05  5.6969997e-05]
 [-5.6969997e-05 -5.6969997e-05 -5.6969997e-05]]","[[0.00343289 0.00343289 0.00343289]
 [2.56156711 2.56156711 2.56156711]]",-8.24158431906196,-8.242082808441106,0.0004984893791452434,115
24,24,"[[ 5.9300581e-05  5.9300581e-05  5.9300581e-05]
 [-5.9300581e-05 -5.9300581e-05 -5.9300581e-05]]","[[0.00372357 0.00372357 0.00372357]
 [2.56127643 2.56127643 2.56127643]]",-8.241584333073684,-8.24212444207213,0.0005401089984470959,120
25,25,"[[ 6.16262253e-05  6.16262253e-05  6.16262253e-05]
 [-6.16262253e-05 -6.16262253e-05 -6.16262253e-05]]","[[0.00402589 0.00402589 0.00402589]
 [2.56097411 2.56097411 2.56097411]]",-8.24158433457309,-8.24216763816549,0.0005833035924004803,125
26,26,"[[ 6.39462261e-05  6.39462261e-05  6.39462261e-05]
 [-6.39462261e-05 -6.39462261e-05 -6.39462261e-05]]","[[0.00433983 0.00433983 0.00433983]
 [2.56066017 2.56066017 2.56066017]]",-8.241584342273498,-8.242212391021118,0.0006280487476203613,130
27,27,"[[ 6.62606571e-05  6.62606571e-05  6.62606571e-05]
 [-6.62606571e-05 -6.62606571e-05 -6.62606571e-05]]","[[0.00466535 0.00466535 0.00466535]
 [2.56033465 2.56033465 2.56033465]]",-8.24158434182115,-8.242258675721022,0.0006743338998719339,135
28,28,"[[ 6.85694007e-05  6.85694007e-05  6.85694007e-05]
 [-6.85694007e-05 -6.85694007e-05 -6.85694007e-05]]","[[0.00500244 0.00500244 0.00500244]
 [2.55999756 2.55999756 2.55999756]]",-8.241584333794721,-8.242306478487665,0.0007221446929429902,140
29,29,"[[ 7.08714698e-05  7.08714698e-05  7.08714698e-05]
 [-7.08714698e-05 -7.08714698e-05 -7.08714698e-05]]","[[0.00535105 0.00535105 0.00535105]
 [2.55964895 2.55964895 2.55964895]]",-8.241584335572153,-8.242355783108048,0.0007714475358946813,145
30,30,"[[ 7.31666745e-05  7.31666745e-05  7.31666745e-05]
 [-7.31666745e-05 -7.31666745e-05 -7.31666745e-05]]","[[0.00571115 0.00571115 0.00571115]
 [2.55928885 2.55928885 2.55928885]]",-8.241584343708366,-8.242406567708324,0.0008222239999572117,150
31,31,"[[ 7.5455139e-05  7.5455139e-05  7.5455139e-05]
 [-7.5455139e-05 -7.5455139e-05 -7.5455139e-05]]","[[0.00608271 0.00608271 0.00608271]
 [2.55891729 2.55891729 2.55891729]]",-8.241584351887921,-8.242458814334977,0.0008744624470570514,155
32,32,"[[ 7.7736631e-05  7.7736631e-05  7.7736631e-05]
 [-7.7736631e-05 -7.7736631e-05 -7.7736631e-05]]","[[0.0064657 0.0064657 0.0064657]
 [2.5585343 2.5585343 2.5585343]]",-8.241584360322086,-8.242512503433925,0.0009281431118395439,160
33,33,"[[ 8.0010903e-05  8.0010903e-05  8.0010903e-05]
 [-8.0010903e-05 -8.0010903e-05 -8.0010903e-05]]","[[0.00686008 0.00686008 0.00686008]
 [2.55813992 2.55813992 2.55813992]]",-8.241584369317591,-8.24256761457535,0.00098324525775955,165
34,34,"[[ 8.22777255e-05  8.22777255e-05  8.22777255e-05]
 [-8.22777255e-05 -8.22777255e-05 -8.22777255e-05]]","[[0.00726581 0.00726581 0.00726581]
 [2.55773419 2.55773419 2.55773419]]",-8.241584378824044,-8.242624126770162,0.0010397479461180417,170
35,35,"[[ 8.45368613e-05  8.45368613e-05  8.45368613e-05]
 [-8.45368613e-05 -8.45368613e-05 -8.45368613e-05]]","[[0.00768286 0.00768286 0.00768286]
 [2.55731714 2.55731714 2.55731714]]",-8.241584388902778,-8.24268201836413,0.0010976294613511738,175
36,36,"[[ 8.67880759e-05  8.67880759e-05  8.67880759e-05]
 [-8.67880759e-05 -8.67880759e-05 -8.67880759e-05]]","[[0.00811118 0.00811118 0.00811118]
 [2.55688882 2.55688882 2.55688882]]",-8.241584399536377,-8.242741267079158,0.0011568675427807928,180
37,37,"[[ 8.90311318e-05  8.90311318e-05  8.90311318e-05]
 [-8.90311318e-05 -8.90311318e-05 -8.90311318e-05]]","[[0.00855074 0.00855074 0.00855074]
 [2.55644926 2.55644926 2.55644926]]",-8.241584410728882,-8.24280184999613,0.0012174392672495702,185
38,38,"[[ 9.12657897e-05  9.12657897e-05  9.12657897e-05]
 [-9.12657897e-05 -9.12657897e-05 -9.12657897e-05]]","[[0.00900149 0.00900149 0.00900149]
 [2.55599851 2.55599851 2.55599851]]",-8.241584422514212,-8.24286374357307,0.0012793210588579445,190
39,39,"[[ 9.34918082e-05  9.34918082e-05  9.34918082e-05]
 [-9.34918082e-05 -9.34918082e-05 -9.34918082e-05]]","[[0.0094634 0.0094634 0.0094634]
 [2.5555366 2.5555366 2.5555366]]",-8.241584434932191,-8.242926923620272,0.0013424886880818822,195
40,40,"[[ 9.57089457e-05  9.57089457e-05  9.57089457e-05]
 [-9.57089457e-05 -9.57089457e-05 -9.57089457e-05]]","[[0.00993641 0.00993641 0.00993641]
 [2.55506359 2.55506359 2.55506359]]",-8.241584447991942,-8.242991365326361,0.0014069173344187932,200
41,41,"[[ 9.79169591e-05  9.79169591e-05  9.79169591e-05]
 [-9.79169591e-05 -9.79169591e-05 -9.79169591e-05]]","[[0.01042049 0.01042049 0.01042049]
 [2.55457951 2.55457951 2.55457951]]",-8.241584461698102,-8.24305704323826,0.0014725815401574172,205
42,42,"[[ 0.00010012  0.00010012  0.00010012]
 [-0.00010012 -0.00010012 -0.00010012]]","[[0.01091558 0.01091558 0.01091558]
 [2.55408442 2.55408442 2.55408442]]",-8.241584476106206,-8.243123931272988,0.0015394551667814963,210
43,43,"[[ 0.0001023  0.0001023  0.0001023]
 [-0.0001023 -0.0001023 -0.0001023]]","[[0.01142164 0.01142164 0.01142164]
 [2.55357836 2.55357836 2.55357836]]",-8.241584491161376,-8.243192002714961,0.0016075115535848382,215
44,44,"[[ 0.00010448  0.00010448  0.00010448]
 [-0.00010448 -0.00010448 -0.00010448]]","[[0.01193863 0.01193863 0.01193863]
 [2.55306137 2.55306137 2.55306137]]",-8.241584506848422,-8.243261230227398,0.0016767233789760031,220
45,45,"[[ 0.00010665  0.00010665  0.00010665]
 [-0.00010665 -0.00010665 -0.00010665]]","[[0.01246648 0.01246648 0.01246648]
 [2.55253352 2.55253352 2.55253352]]",-8.24158452326075,-8.243331585833394,0.001747062572644017,225
46,46,"[[ 0.00010881  0.00010881  0.00010881]
 [-0.00010881 -0.00010881 -0.00010881]]","[[0.01300515 0.01300515 0.01300515]
 [2.55199485 2.55199485 2.55199485]]",-8.241584540407361,-8.243403040934435,0.001818500527073298,230
47,47,"[[ 0.00011096  0.00011096  0.00011096]
 [-0.00011096 -0.00011096 -0.00011096]]","[[0.01355459 0.01355459 0.01355459]
 [2.55144541 2.55144541 2.55144541]]",-8.241584558263124,-8.243475566292334,0.0018910080292097514,235
48,48,"[[ 0.0001131  0.0001131  0.0001131]
 [-0.0001131 -0.0001131 -0.0001131]]","[[0.01411475 0.01411475 0.01411475]
 [2.55088525 2.55088525 2.55088525]]",-8.241584576904177,-8.243549132065212,0.0019645551610344785,240
49,49,"[[ 0.00011522  0.00011522  0.00011522]
 [-0.00011522 -0.00011522 -0.00011522]]","[[0.01468556 0.01468556 0.01468556]
 [2.55031444 2.55031444 2.55031444]]",-8.241584596361122,-8.243623707762895,0.0020391114017726613,245
50,50,"[[ 0.00011734  0.00011734  0.00011734]
 [-0.00011734 -0.00011734 -0.00011734]]","[[0.01526698 0.01526698 0.01526698]
 [2.54973302 2.54973302 2.54973302]]",-8.24158461664081,-8.24369926228973,0.0021146456489190496,250
51,51,"[[ 0.00011944  0.00011944  0.00011944]
 [-0.00011944 -0.00011944 -0.00011944]]","[[0.01585894 0.01585894 0.01585894]
 [2.54914106 2.54914106 2.54914106]]",-8.241584637696615,-8.24377576392524,0.002191126228625322,255
52,52,"[[ 0.00012153  0.00012153  0.00012153]
 [-0.00012153 -0.00012153 -0.00012153]]","[[0.01646138 0.01646138 0.01646138]
 [2.54853862 2.54853862 2.54853862]]",-8.241584659594269,-8.24385318034351,0.0022685207492414796,260
53,53,"[[ 0.00012361  0.00012361  0.00012361]
 [-0.00012361 -0.00012361 -0.00012361]]","[[0.01707426 0.01707426 0.01707426]
 [2.54792574 2.54792574 2.54792574]]",-8.241584682386883,-8.243931478577625,0.0023467961907432224,265
54,54,"[[ 0.00012568  0.00012568  0.00012568]
 [-0.00012568 -0.00012568 -0.00012568]]","[[0.01769749 0.01769749 0.01769749]
 [2.54730251 2.54730251 2.54730251]]",-8.24158470599363,-8.244010625076324,0.00242591908269477,270
55,55,"[[ 0.00012773  0.00012773  0.00012773]
 [-0.00012773 -0.00012773 -0.00012773]]","[[0.01833103 0.01833103 0.01833103]
 [2.54666897 2.54666897 2.54666897]]",-8.24158473047915,-8.244090585675554,0.0025058551964031815,275
56,56,"[[ 0.00012977  0.00012977  0.00012977]
 [-0.00012977 -0.00012977 -0.00012977]]","[[0.0189748 0.0189748 0.0189748]
 [2.5460252 2.5460252 2.5460252]]",-8.241584755901417,-8.244171325593573,0.0025865696921563617,280
57,57,"[[ 0.0001318  0.0001318  0.0001318]
 [-0.0001318 -0.0001318 -0.0001318]]","[[0.01962875 0.01962875 0.01962875]
 [2.54537125 2.54537125 2.54537125]]",-8.241584782279311,-8.244252809464626,0.0026680271853149707,285
58,58,"[[ 0.00013381  0.00013381  0.00013381]
 [-0.00013381 -0.00013381 -0.00013381]]","[[0.02029279 0.02029279 0.02029279]
 [2.54470721 2.54470721 2.54470721]]",-8.24158480958653,-8.24433500131757,0.0027501917310388743,290
59,59,"[[ 0.00013581  0.00013581  0.00013581]
 [-0.00013581 -0.00013581 -0.00013581]]","[[0.02096688 0.02096688 0.02096688]
 [2.54403312 2.54403312 2.54403312]]",-8.241584837819701,-8.244417864591256,0.002833026771554512,295
60,60,"[[ 0.0001378  0.0001378  0.0001378]
 [-0.0001378 -0.0001378 -0.0001378]]","[[0.02165093 0.02165093 0.02165093]
 [2.54334907 2.54334907 2.54334907]]",-8.241584867003674,-8.244501362138632,0.0029164951349583694,300
61,61,"[[ 0.00013977  0.00013977  0.00013977]
 [-0.00013977 -0.00013977 -0.00013977]]","[[0.02234488 0.02234488 0.02234488]
 [2.54265512 2.54265512 2.54265512]]",-8.241584897150753,-8.244585456232151,0.0030005590813979577,305
62,62,"[[ 0.00014173  0.00014173  0.00014173]
 [-0.00014173 -0.00014173 -0.00014173]]","[[0.02304865 0.02304865 0.02304865]
 [2.54195135 2.54195135 2.54195135]]",-8.241584928328631,-8.24467010857153,0.0030851802428978115,310
63,63,"[[ 0.00014367  0.00014367  0.00014367]
 [-0.00014367 -0.00014367 -0.00014367]]","[[0.02376217 0.02376217 0.02376217]
 [2.54123783 2.54123783 2.54123783]]",-8.241584960503264,-8.244755280278511,0.0031703197752462197,315
64,64,"[[ 0.0001456  0.0001456  0.0001456]
 [-0.0001456 -0.0001456 -0.0001456]]","[[0.02448536 0.02448536 0.02448536]
 [2.54051464 2.54051464 2.54051464]]",-8.241584993743523,-8.244840931920457,0.003255938176934239,320
65,65,"[[ 0.00014751  0.00014751  0.00014751]
 [-0.00014751 -0.00014751 -0.00014751]]","[[0.02521815 0.02521815 0.02521815]
 [2.53978185 2.53978185 2.53978185]]",-8.241585028030276,-8.244927023488515,0.0033419954582398267,325
66,66,"[[ 0.00014941  0.00014941  0.00014941]
 [-0.00014941 -0.00014941 -0.00014941]]","[[0.02596046 0.02596046 0.02596046]
 [2.53903954 2.53903954 2.53903954]]",-8.241585063379702,-8.245013514453264,0.0034284510735616796,330
67,67,"[[ 0.00015129  0.00015129  0.00015129]
 [-0.00015129 -0.00015129 -0.00015129]]","[[0.02671221 0.02671221 0.02671221]
 [2.53828779 2.53828779 2.53828779]]",-8.241585099850179,-8.245100363719693,0.0035152638695156993,335
68,68,"[[ 0.00015315  0.00015315  0.00015315]
 [-0.00015315 -0.00015315 -0.00015315]]","[[0.02747331 0.02747331 0.02747331]
 [2.53752669 2.53752669 2.53752669]]",-8.241585137430677,-8.24518752967649,0.0036023922458132233,340
69,69,"[[ 0.000155  0.000155  0.000155]
 [-0.000155 -0.000155 -0.000155]]","[[0.0282437 0.0282437 0.0282437]
 [2.5367563 2.5367563 2.5367563]]",-8.241585176079518,-8.245274970167706,0.003689794088188315,345
70,70,"[[ 0.00015683  0.00015683  0.00015683]
 [-0.00015683 -0.00015683 -0.00015683]]","[[0.02902327 0.02902327 0.02902327]
 [2.53597673 2.53597673 2.53597673]]",-8.241585215814887,-8.24536264253722,0.003777426722334209,350
71,71,"[[ 0.00015864  0.00015864  0.00015864]
 [-0.00015864 -0.00015864 -0.00015864]]","[[0.02981195 0.02981195 0.02981195]
 [2.53518805 2.53518805 2.53518805]]",-8.241585256700983,-8.245450503613636,0.003865246912652411,355
72,72,"[[ 0.00016043  0.00016043  0.00016043]
 [-0.00016043 -0.00016043 -0.00016043]]","[[0.03060965 0.03060965 0.03060965]
 [2.53439035 2.53439035 2.53439035]]",-8.241585298764663,-8.245538509733688,0.003953210969024178,360
73,73,"[[ 0.00016221  0.00016221  0.00016221]
 [-0.00016221 -0.00016221 -0.00016221]]","[[0.03141628 0.03141628 0.03141628]
 [2.53358372 2.53358372 2.53358372]]",-8.241585342039109,-8.245626616743472,0.004041274704363157,365
74,74,"[[ 0.00016397  0.00016397  0.00016397]
 [-0.00016397 -0.00016397 -0.00016397]]","[[0.03223175 0.03223175 0.03223175]
 [2.53276825 2.53276825 2.53276825]]",-8.241585386531176,-8.245714780019178,0.004129393488001379,370
75,75,"[[ 0.00016571  0.00016571  0.00016571]
 [-0.00016571 -0.00016571 -0.00016571]]","[[0.03305597 0.03305597 0.03305597]
 [2.53194403 2.53194403 2.53194403]]",-8.241585432225385,-8.245802954466376,0.004217522240990472,375
76,76,"[[ 0.00016743  0.00016743  0.00016743]
 [-0.00016743 -0.00016743 -0.00016743]]","[[0.03388884 0.03388884 0.03388884]
 [2.53111116 2.53111116 2.53111116]]",-8.241585479103337,-8.245891094550121,0.004305615446783036,380
77,77,"[[ 0.00016913  0.00016913  0.00016913]
 [-0.00016913 -0.00016913 -0.00016913]]","[[0.03473028 0.03473028 0.03473028]
 [2.53026972 2.53026972 2.53026972]]",-8.241585511223807,-8.245979155745003,0.004393644521195553,385
78,78,"[[ 0.00017082  0.00017082  0.00017082]
 [-0.00017082 -0.00017082 -0.00017082]]","[[0.03558018 0.03558018 0.03558018]
 [2.52941982 2.52941982 2.52941982]]",-8.241585519494695,-8.24606708908274,0.004481569588044408,390
79,79,"[[ 0.00017248  0.00017248  0.00017248]
 [-0.00017248 -0.00017248 -0.00017248]]","[[0.03643846 0.03643846 0.03643846]
 [2.52856154 2.52856154 2.52856154]]",-8.24158552251347,-8.2461548493634,0.004569326849929723,395
80,80,"[[ 0.00017413  0.00017413  0.00017413]
 [-0.00017413 -0.00017413 -0.00017413]]","[[0.037305 0.037305 0.037305]
 [2.527695 2.527695 2.527695]]",-8.241585525851539,-8.246242389278345,0.004656863426805932,400
81,81,"[[ 0.00017575  0.00017575  0.00017575]
 [-0.00017575 -0.00017575 -0.00017575]]","[[0.03817972 0.03817972 0.03817972]
 [2.52682028 2.52682028 2.52682028]]",-8.241585529345675,-8.246329661266262,0.00474413192058775,405
82,82,"[[ 0.00017735  0.00017735  0.00017735]
 [-0.00017735 -0.00017735 -0.00017735]]","[[0.03906251 0.03906251 0.03906251]
 [2.52593749 2.52593749 2.52593749]]",-8.241585532993671,-8.246416617356191,0.004831084362520765,410
83,83,"[[ 0.00017894  0.00017894  0.00017894]
 [-0.00017894 -0.00017894 -0.00017894]]","[[0.03995326 0.03995326 0.03995326]
 [2.52504674 2.52504674 2.52504674]]",-8.241585536807701,-8.246503209234792,0.004917672427090207,415
84,84,"[[ 0.0001805  0.0001805  0.0001805]
 [-0.0001805 -0.0001805 -0.0001805]]","[[0.04085187 0.04085187 0.04085187]
 [2.52414813 2.52414813 2.52414813]]",-8.24158554079836,-8.246589388258334,0.005003847459974014,420
85,85,"[[ 0.00018204  0.00018204  0.00018204]
 [-0.00018204 -0.00018204 -0.00018204]]","[[0.04175823 0.04175823 0.04175823]
 [2.52324177 2.52324177 2.52324177]]",-8.241585544961112,-8.24667510547843,0.005089560517318636,425
86,86,"[[ 0.00018355  0.00018355  0.00018355]
 [-0.00018355 -0.00018355 -0.00018355]]","[[0.04267223 0.04267223 0.04267223]
 [2.52232777 2.52232777 2.52232777]]",-8.24158554929359,-8.246760311645499,0.005174762351907248,430
87,87,"[[ 0.00018505  0.00018505  0.00018505]
 [-0.00018505 -0.00018505 -0.00018505]]","[[0.04359377 0.04359377 0.04359377]
 [2.52140623 2.52140623 2.52140623]]",-8.24158555381208,-8.24684495723331,0.005259403421230685,435
88,88,"[[ 0.00018652  0.00018652  0.00018652]
 [-0.00018652 -0.00018652 -0.00018652]]","[[0.04452272 0.04452272 0.04452272]
 [2.52047728 2.52047728 2.52047728]]",-8.24158555853702,-8.246928992474475,0.005343433937453914,440
89,89,"[[ 0.00018797  0.00018797  0.00018797]
 [-0.00018797 -0.00018797 -0.00018797]]","[[0.04545898 0.04545898 0.04545898]
 [2.51954102 2.51954102 2.51954102]]",-8.241585563462941,-8.247012367365711,0.005426803902769896,445
90,90,"[[ 0.0001894  0.0001894  0.0001894]
 [-0.0001894 -0.0001894 -0.0001894]]","[[0.04640243 0.04640243 0.04640243]
 [2.51859757 2.51859757 2.51859757]]",-8.241585568565169,-8.247095031691122,0.005509463125954262,450
91,91,"[[ 0.0001908  0.0001908  0.0001908]
 [-0.0001908 -0.0001908 -0.0001908]]","[[0.04735295 0.04735295 0.04735295]
 [2.51764705 2.51764705 2.51764705]]",-8.241585573854323,-8.247176935049117,0.005591361194793556,455
92,92,"[[ 0.00019218  0.00019218  0.00019218]
 [-0.00019218 -0.00019218 -0.00019218]]","[[0.04831042 0.04831042 0.04831042]
 [2.51668958 2.51668958 2.51668958]]",-8.24158557934498,-8.247258026882271,0.005672447537290943,460
93,93,"[[ 0.00019353  0.00019353  0.00019353]
 [-0.00019353 -0.00019353 -0.00019353]]","[[0.04927473 0.04927473 0.04927473]
 [2.51572527 2.51572527 2.51572527]]",-8.241585585036315,-8.247338256487541,0.005752671451227173,465
94,94,"[[ 0.00019486  0.00019486  0.00019486]
 [-0.00019486 -0.00019486 -0.00019486]]","[[0.05024575 0.05024575 0.05024575]
 [2.51475425 2.51475425 2.51475425]]",-8.241585590941568,-8.247417573055024,0.005831982113455539,470
95,95,"[[ 0.00019617  0.00019617  0.00019617]
 [-0.00019617 -0.00019617 -0.00019617]]","[[0.05122335 0.05122335 0.05122335]
 [2.51377665 2.51377665 2.51377665]]",-8.241585597067786,-8.247495925687616,0.005910328619829342,475
96,96,"[[ 0.00019745  0.00019745  0.00019745]
 [-0.00019745 -0.00019745 -0.00019745]]","[[0.05220741 0.05220741 0.05220741]
 [2.51279259 2.51279259 2.51279259]]",-8.241585603416677,-8.247573263421119,0.0059876600044418,480
97,97,"[[ 0.0001987  0.0001987  0.0001987]
 [-0.0001987 -0.0001987 -0.0001987]]","[[0.0531978 0.0531978 0.0531978]
 [2.5118022 2.5118022 2.5118022]]",-8.241585609979179,-8.247649535278537,0.006063925299357941,485
98,98,"[[ 0.00019993  0.00019993  0.00019993]
 [-0.00019993 -0.00019993 -0.00019993]]","[[0.05419439 0.05419439 0.05419439]
 [2.51080561 2.51080561 2.51080561]]",-8.241585616764112,-8.24772469026407,0.006139073499957725,490
99,99,"[[ 0.00020113  0.00020113  0.00020113]
 [-0.00020113 -0.00020113 -0.00020113]]","[[0.05519706 0.05519706 0.05519706]
 [2.50980294 2.50980294 2.50980294]]",-8.241585623790604,-8.24779867741828,0.00621305362767604,495
100,100,"[[ 0.0002023  0.0002023  0.0002023]
 [-0.0002023 -0.0002023 -0.0002023]]","[[0.05620567 0.05620567 0.05620567]
 [2.50879433 2.50879433 2.50879433]]",-8.241585631035079,-8.24787144583481,0.00628581479973221,500
101,101,"[[ 0.00020345  0.00020345  0.00020345]
 [-0.00020345 -0.00020345 -0.00020345]]","[[0.05722008 0.05722008 0.05722008]
 [2.50777992 2.50777992 2.50777992]]",-8.241585638502372,-8.247942944704233,0.006357306201862341,505
